,name,id_ref,consumption_status,is_rewatch,score,progress
0,Aharen-san wa Hakarenai,49520,{'name': 'consuming'},FALSE,0,2
1,Azumanga Daiou The Animation,66,{'name': 'consuming'},FALSE,0,1
2,Black Clover,34572,{'name': 'consuming'},FALSE,0,101
3,Blue Lock,49596,{'name': 'consuming'},FALSE,0,17
4,Boku no Hero Academia 6th Season,49918,{'name': 'consuming'},FALSE,0,2
5,Boruto: Naruto Next Generations,34566,{'name': 'consuming'},FALSE,0,256
6,Chuunibyou demo Koi ga Shitai!,14741,{'name': 'consuming'},FALSE,0,7
7,Danshi Koukousei no Nichijou,11843,{'name': 'consuming'},FALSE,0,1
8,Dumbbell Nan Kilo Moteru?,39026,{'name': 'consuming'},FALSE,0,5
9,Fairy Tail,6702,{'name': 'consuming'},FALSE,0,80
10,Gakuen Babysitters,35222,{'name': 'consuming'},FALSE,0,1
11,Grand Blue,37105,{'name': 'consuming'},FALSE,0,1
12,InuYasha,249,{'name': 'consuming'},FALSE,0,134
13,Jibaku Shounen Hanako-kun,39534,{'name': 'consuming'},FALSE,0,2
14,Kaifuku Jutsushi no Yarinaoshi,40750,{'name': 'consuming'},FALSE,0,7
15,Karakai Jouzu no Takagi-san 2,38993,{'name': 'consuming'},FALSE,0,4
16,"Komi-san wa, Comyushou desu.",48926,{'name': 'consuming'},FALSE,0,1
17,Love Live! School Idol Project,15051,{'name': 'consuming'},FALSE,0,1
18,Murenase! Seton Gakuen,40483,{'name': 'consuming'},FALSE,0,2
19,Mushoku Tensei: Isekai Ittara Honki Dasu,39535,{'name': 'consuming'},FALSE,0,5
20,Nekopara,38924,{'name': 'consuming'},FALSE,0,6
21,Nichijou,10165,{'name': 'consuming'},FALSE,0,4
22,Non Non Biyori,17549,{'name': 'consuming'},FALSE,0,1
23,One Piece,21,{'name': 'consuming'},FALSE,0,1017
24,Ousama Ranking,40834,{'name': 'consuming'},FALSE,0,11
25,Senpai ga Uzai Kouhai no Hanashi,42351,{'name': 'consuming'},FALSE,0,1
26,Sono Bisque Doll wa Koi wo Suru,48736,{'name': 'consuming'},FALSE,0,1
27,Spy x Family,50265,{'name': 'consuming'},FALSE,0,5
28,Super Dragon Ball Heroes,37885,{'name': 'consuming'},FALSE,0,7
29,Uzaki-chan wa Asobitai!,41226,{'name': 'consuming'},FALSE,0,5
30,Vinland Saga Season 2,49387,{'name': 'consuming'},FALSE,0,3
31,Yakusoku no Neverland 2nd Season,39617,{'name': 'consuming'},FALSE,0,5
32,5-toubun no Hanayome,38101,{'name': 'completed'},FALSE,10,12
33,5-toubun no Hanayome ∬,39783,{'name': 'completed'},FALSE,10,12
34,Aho Girl,34881,{'name': 'completed'},FALSE,8,12
35,Akame ga Kill!,22199,{'name': 'completed'},FALSE,9,24
36,Akkun to Kanojo,36864,{'name': 'completed'},FALSE,8,25
37,Amagi Brilliant Park,22147,{'name': 'completed'},FALSE,8,13
38,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,30206,{'name': 'completed'},FALSE,8,1
39,Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,30056,{'name': 'completed'},FALSE,8,7
40,Angel Beats!,6547,{'name': 'completed'},FALSE,9,13
41,Angel Beats! Specials,9062,{'name': 'completed'},FALSE,9,2
42,Anitore! EX,31519,{'name': 'completed'},FALSE,6,12
43,Anitore! EX: Jigoku no Training,32886,{'name': 'completed'},FALSE,6,5
44,Anitore! XX: Hitotsu Yane no Shita de,33746,{'name': 'completed'},FALSE,6,12
45,Anitore! XX: Hitotsu Yane no Shita de Specials,38177,{'name': 'completed'},FALSE,6,6
46,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,{'name': 'completed'},FALSE,9,11
47,Another,11111,{'name': 'completed'},FALSE,8,12
48,Asobi Asobase,37171,{'name': 'completed'},FALSE,8,12
49,B-gata H-kei,7817,{'name': 'completed'},FALSE,8,12
50,Bakemono no Ko,28805,{'name': 'completed'},FALSE,8,1
51,Banana Fish,36649,{'name': 'completed'},FALSE,7,24
52,Beelzebub-jou no Okinimesu mama.,37716,{'name': 'completed'},FALSE,6,12
53,Bleach,269,{'name': 'completed'},FALSE,8,366
54,Blend S,34618,{'name': 'completed'},FALSE,8,12
55,Blood-C,10490,{'name': 'completed'},FALSE,7,12
56,Bocchi the Rock!,47917,{'name': 'completed'},FALSE,10,12
57,Boku dake ga Inai Machi,31043,{'name': 'completed'},FALSE,9,12
58,Boku no Hero Academia,31964,{'name': 'completed'},FALSE,9,13
59,Boku no Hero Academia 2nd Season,33486,{'name': 'completed'},FALSE,9,25
60,Boku no Hero Academia 3rd Season,36456,{'name': 'completed'},FALSE,8,25
61,Boku no Hero Academia 4th Season,38408,{'name': 'completed'},FALSE,5,25
62,Boku no Hero Academia 5th Season,41587,{'name': 'completed'},FALSE,8,25
63,Boku no Hero Academia the Movie 1: Futari no Hero,36896,{'name': 'completed'},FALSE,7,1
64,Boku no Hero Academia: Sukue! Kyuujo Kunren!,33929,{'name': 'completed'},FALSE,9,2
65,Bokutachi wa Benkyou ga Dekinai,38186,{'name': 'completed'},FALSE,9,13
66,Bokutachi wa Benkyou ga Dekinai!,40004,{'name': 'completed'},FALSE,9,13
67,Boruto: Naruto the Movie,28755,{'name': 'completed'},FALSE,10,1
68,Byousoku 5 Centimeter,1689,{'name': 'completed'},FALSE,8,3
69,Chainsaw Man,44511,{'name': 'completed'},FALSE,8,12
70,Charlotte,28999,{'name': 'completed'},FALSE,9,13
