,Storm name,Dates active,Max windkm/h (mph),Pressure(hPa),Areas affected,Damage(USD),Deaths,Refs
1,Blake,January 4-11,75 (45),986,Western Australia,Minor,None,
2,Claudia,January 4-17,150 (90),963,"Eastern Indonesia, Top End, Kimberley",None,None,
3,Tino,January 11-20,120 (75),970,"Solomon Islands, Vanuatu, Fiji, Wallis and Futuna, Samoan Islands, Tuvalu, Tonga",$5.83�million,2,[17]
4,5,January 19-23,55 (35),999,None,None,None,
5,Diane,January 22-26,75 (45),990,"Madagascar, Mauritius, Réunion",Unknown,31,[18]
6,Kurumi,January 23-25,65 (40),998,"São Paulo, Minas Gerais, Espírito Santo, Rio de Janeiro",Unknown,70,[19]
7,Esami,January 23-26,85 (50),990,Rodrigues,None,None,
8,04U,January 23-30,Unspecified,998,"Northern Territory, Queensland",None,None,
9,05F,January 24-26,Unspecified,1003,Samoan Islands,None,None,
10,TL,January 31 - February 4,Unspecified,1007,"Christmas Island, Cocos Islands",None,None,
